순위,영화명,개봉일,제작연도,대표국적,국적,장르,감독,배급사,직배여부,등급,개봉스크린수,첫주관객,2주누적,최종누적관객,배수,스크린당관객,14일좌석수,평균좌석판매율,좌석결손일,누적매출액,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
96,여름정원,2025-08-06,1994,일본,일본,드라마,소마이 신지,(주)에이유앤씨,비직배,12세이상관람가,79,7349,11564,16760,2.28,212,54763,13.5,4,157921160,1316,997,1025,1243,1263,808,697,524,618,674,849,816,349,385,305
97,빌리와 용감한 타이거 킹,2025-09-11,2024,말레이시아,말레이시아,애니메이션,,(주)박수엔터테인먼트,비직배,전체관람가,241,11844,14270,16628,1.4,69,47746,12.9,4,145294720,1025,755,4602,4074,233,590,565,337,344,769,663,61,28,224,177
98,극장판 츠루네: 시작의 한 발,2024-02-21,2022,일본,일본,애니메이션,야마무라 타쿠야,(주)라이크콘텐츠,비직배,전체관람가,119,9177,12420,16531,1.8,139,91065,6.8,4,150253101,3654,1114,904,1145,1037,666,657,1349,513,525,299,323,132,102,312
99,할머니가 죽기 전 백만장자가 되는 법,2024-10-09,2024,태국,태국,드라마,팟 부니티팻,(주)디스테이션,비직배,전체관람가,172,10466,14450,15568,1.49,91,155143,3.4,5,114630450,2822,1585,1496,1838,1407,548,770,195,655,714,848,708,379,485,46
100,마이 선샤인,2026-01-07,2024,일본,일본,드라마,오쿠야마 히로시,(주)넥스트엔터테인먼트월드(NEW),비직배,전체관람가,244,10882,13043,15334,1.41,63,110230,5.5,4,145946300,3012,1340,1343,1931,1622,674,960,241,115,216,887,509,117,76,88
101,류이치 사카모토: 다이어리,2026-04-01,2025,일본,일본,다큐멘터리,,"(주)영화사 진진,TCO(주)더콘텐츠온",비직배,전체관람가,127,6541,9824,15268,2.33,120,76635,7.9,4,150908000,988,718,732,1787,1229,547,540,593,394,442,689,588,302,275,211
102,창가의 토토,2024-05-29,2023,일본,일본,애니메이션,야쿠와 신노스케,(주)디스테이션,비직배,전체관람가,321,8915,12330,15047,1.69,47,147408,8.9,3,135026143,1068,784,860,2549,2674,437,543,1003,1000,476,464,403,25,44,15
103,다이 마이 러브,2026-03-04,2025,미국,미국,"드라마,스릴러",린 램지,(주)누리픽쳐스,비직배,청소년관람불가,115,9365,14037,14991,1.6,130,83370,7.8,5,128942200,2164,1519,1343,1782,1235,540,782,1220,849,821,548,832,177,225,98
104,출동! 왕엉덩이 히어로: 털복숭이 꼬리도적단 소탕작전,2025-04-12,2020,호주,호주,"애니메이션,액션,어드벤처",리카르드 쿠소,(주)팝엔터테인먼트,비직배,전체관람가,177,8390,12581,14829,1.77,84,127258,5.8,1,121341100,3164,4352,227,141,129,153,224,2225,1723,51,116,43,8,25,97
105,침묵의 친구,2026-04-15,2025,독일,독일,드라마,,(주)영화사 안다미로,비직배,15세이상관람가,67,5155,7168,14778,2.87,221,44122,8.6,4,153679370,1139,672,589,793,1218,391,353,315,318,239,386,373,194,188,173
106,키메라,2024-04-03,2023,이탈리아,이탈리아,드라마,알리체 로르와커,엠엔엠인터내셔널(주),비직배,12세이상관람가,51,4830,7766,14742,3.05,289,54353,8.5,4,142738969,1275,533,555,906,699,348,514,838,294,330,478,485,226,285,185
107,사유리,2025-04-16,2024,일본,일본,공포(호러),시라이시 코지,(주)트리플픽쳐스,비직배,15세이상관람가,191,9985,12833,14736,1.48,77,157158,3.8,4,141290100,1811,1051,1338,2340,1957,627,861,380,424,853,480,289,180,242,55
108,립세의 사계,2024-01-10,2023,폴란드,폴란드,애니메이션,"DK 웰치먼,휴 웰치맨",(주)디스테이션,비직배,15세이상관람가,186,8978,12920,14582,1.62,78,221421,3.1,4,113266240,2556,1261,1225,1107,970,476,1383,892,762,763,516,482,274,253,156
109,플랜 75,2024-02-07,2022,일본,일본,드라마,하야카와 치에,찬란,비직배,15세이상관람가,50,5162,8856,14471,2.8,289,55088,11.0,4,131960066,702,646,777,606,944,935,552,485,468,519,633,741,351,497,299
110,그랑 메종 파리,2025-08-27,2024,일본,일본,드라마,츠카하라 아유코,"(주)미디어캐슬,롯데컬처웍스(주)롯데시네마",비직배,12세이상관람가,141,9478,13610,14449,1.52,102,137559,4.9,4,109036200,3098,1550,1722,1127,1047,491,443,235,166,388,1079,1032,533,699,132
111,렌탈 패밀리: 가족을 빌려드립니다,2026-02-25,2025,미국,미국,"드라마,코미디",,월트디즈니컴퍼니코리아 유한책임회사,직배,12세이상관람가,186,10137,11912,14383,1.42,77,100332,6.4,4,130343540,1212,1274,1404,1770,1609,1881,987,337,148,293,340,349,150,158,146
112,애니멀 킹덤,2025-01-22,2023,프랑스,프랑스,"미스터리,판타지,드라마",토마스 카일리,"그린나래미디어(주),(주)스튜디오디에이치엘",비직배,15세이상관람가,96,5467,8630,14330,2.62,149,68587,9.6,4,133964100,765,707,619,892,1131,736,617,428,495,513,518,570,188,451,793
113,호두까기 인형과 마술피리,2024-10-30,2022,러시아,러시아,애니메이션,,(주)팝엔터테인먼트,비직배,전체관람가,258,10316,12371,14285,1.38,55,57981,10.0,4,120485050,260,537,648,3802,4028,357,684,175,9,109,531,701,241,289,117
114,데드데드 데몬즈 디디디디 디스트럭션: 파트2,2025-02-05,2024,일본,일본,애니메이션,,"주식회사 올랄라스토리,롯데컬처웍스(주)롯데시네마",비직배,15세이상관람가,220,7251,10727,13956,1.92,63,134534,8.9,3,115409160,2124,901,744,1422,1106,346,608,959,487,428,648,463,132,359,553
115,전장의 크리스마스,2024-11-20,1983,영국,영국,"드라마,전쟁",오시마 나기사,(주)엣나인필름,비직배,15세이상관람가,65,4903,7810,13242,2.7,204,47627,10.5,4,127374732,1030,681,660,846,774,447,465,414,827,327,523,392,198,226,233
116,카라바조의 그림자,2025-01-22,2022,이탈리아,이탈리아,드라마,미첼 프라치도,(주)영화사 진진,비직배,청소년관람불가,35,4768,7946,12642,2.65,361,33085,16.4,4,115090260,523,702,429,1115,809,553,637,440,594,524,613,571,258,178,404
117,몬스터 프렌즈,2024-04-25,2023,스페인,스페인,애니메이션,,(주)박수엔터테인먼트,비직배,전체관람가,180,8893,10725,12519,1.41,70,47675,22.1,4,101256715,1508,1768,1847,2037,197,440,1096,489,641,104,386,203,9,0,136
118,그리드맨 유니버스,2025-05-21,2023,일본,일본,애니메이션,아메미야 아키라,(주)미디어캐슬,비직배,12세이상관람가,112,5500,8485,12510,2.27,112,86025,7.2,4,98942580,1608,448,494,1421,954,213,362,234,1030,334,593,438,121,235,1228
119,여름날의 레몬그라스,2024-11-27,2024,대만,대만,멜로/로맨스,,"(주)제이에이와이이엔터테인먼트,(주)더쿱디스트리뷰션",비직배,12세이상관람가,72,7333,12103,12312,1.68,171,59118,12.7,4,71507100,1668,1256,902,891,672,315,1629,1276,727,525,596,409,1170,67,8
120,인어공주: 마법물약의 비밀,2024-03-14,2023,미국,미국,애니메이션,,(주)박수엔터테인먼트,비직배,전체관람가,188,9189,11664,12265,1.33,65,37594,7.6,5,105988262,829,379,3341,3749,149,267,475,22,126,1157,1032,5,61,72,0
121,미러 넘버 3,2025-10-01,2025,독일,독일,"드라마,미스터리,스릴러",크리스티안 페촐트,"엠엔엠인터내셔널(주),(주)레드아이스 엔터테인먼트",비직배,15세이상관람가,60,4008,6433,12176,3.04,203,52777,8.6,4,115984100,585,428,566,888,594,421,526,459,347,445,421,422,153,178,708
122,끝이 없는 스칼렛,2026-01-14,2025,일본,일본,애니메이션,호소다 마모루,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,직배,12세이상관람가,165,10292,11932,12111,1.18,73,86545,3.0,5,104038200,3762,1798,738,2327,791,345,531,146,149,125,702,217,140,161,13
123,"나의 아픈, 사랑이야기",2025-08-13,2025,대만,대만,멜로/로맨스,,"(주)픽처하우스,영화로운 형제",비직배,12세이상관람가,146,10719,11070,11899,1.11,82,67917,10.6,4,102330800,3055,2498,1480,978,927,575,1206,110,129,14,31,32,20,15,100
124,후레루.,2025-06-25,2024,일본,일본,애니메이션,오카다 마리,(주)미디어캐슬,비직배,12세이상관람가,157,9472,11001,11775,1.24,75,133211,3.0,4,89595500,2614,1312,1083,1692,1290,577,904,231,239,149,288,340,150,132,99
125,구룡성채: 무법지대,2024-10-16,2024,홍콩,홍콩,액션,정 바오루이,(주)콘텐츠판다,비직배,15세이상관람가,134,7982,9920,11622,1.46,87,129860,4.2,4,99918950,1491,1121,1371,1371,1368,588,672,322,198,240,366,308,245,259,140
126,퀸 락 몬트리올,2026-04-15,2024,영국,영국,공연,사울 스위머,판씨네마(주),비직배,12세이상관람가,156,6997,9178,11617,1.66,74,185060,2.3,4,150012340,1569,866,925,1422,1131,519,565,304,236,341,494,426,152,228,37
127,프리실라,2024-06-19,1994,미국,미국,"드라마,멜로/로맨스,뮤지컬",소피아 코폴라,"오드,홀리가든",비직배,15세이상관람가,158,6929,10278,11548,1.67,73,138889,8.0,1,103947784,2170,1308,545,630,594,631,1051,503,735,562,633,722,79,115,106
128,프로이트의 라스트 세션,2024-08-21,2023,미국,미국,드라마,매트 브라운,(주)트리플픽쳐스,비직배,15세이상관람가,76,7957,10084,11375,1.43,150,44784,11.7,4,100515238,1412,1145,1056,1520,1205,662,957,469,326,248,365,289,185,245,36
129,킬,2024-08-28,,인도,인도,"액션,범죄",니킬 나게시 바트,주식회사 올랄라스토리,비직배,청소년관람불가,126,8614,10028,11177,1.3,89,159559,2.8,3,80584100,1908,1180,1461,1407,1107,713,838,321,301,388,165,107,72,60,48
130,연지구 디 오리지널 4K,2026-03-25,1987,홍콩,홍콩,"판타지,멜로/로맨스",관금붕,와이드 릴리즈(주),비직배,15세이상관람가,130,6309,8855,11080,1.76,85,124656,3.9,3,110674800,1402,637,1375,1201,761,429,504,999,274,252,387,287,154,193,136
131,코마다 위스키 패밀리,2024-09-05,2023,일본,일본,애니메이션,요시하라 마사유키,(주)스마일이엔티,비직배,12세이상관람가,150,9142,10161,11062,1.21,74,114806,3.7,3,88734000,3084,1478,2074,1195,374,438,499,185,72,194,195,132,116,125,63
132,리 밀러: 카메라를 든 여자,2025-09-24,2023,호주,호주,드라마,,"(주)영화사 진진,(주)플레이그램",비직배,15세이상관람가,77,6154,8415,10663,1.73,138,46685,10.7,4,96834280,1069,805,844,1254,974,525,683,307,260,408,408,332,221,325,243
133,벌집의 정령,2025-01-29,1973,스페인,스페인,드라마,빅토르 에리세,엠엔엠인터내셔널(주),비직배,12세이상관람가,36,3967,5712,10478,2.64,291,54145,9.6,1,96747860,735,684,767,695,469,302,315,243,177,264,332,277,176,276,91
134,노 베어스,2024-01-10,2022,이란,이란,드라마,자파르 파나히,엠엔엠인터내셔널(주),비직배,12세이상관람가,41,2889,5276,10422,3.61,254,37613,10.0,4,101495312,412,340,450,455,390,310,532,398,340,304,475,367,246,257,126
135,프라우드 프린세스: 로열 어드벤처,2025-08-15,2024,체코,체코,"애니메이션,드라마",,(주)스튜디오디에이치엘,비직배,전체관람가,126,7230,9703,10374,1.43,82,72205,4.2,3,75517400,2767,1998,1893,229,122,122,99,290,798,890,184,155,12,144,190
136,얼음 여왕,2026-01-28,2025,노르웨이,노르웨이,애니메이션,,(주)디스테이션,비직배,전체관람가,159,5648,8969,10331,1.83,65,111140,10.3,1,78937600,676,533,520,1506,1240,193,980,363,516,757,660,769,110,146,178
137,타년타일,2026-01-28,2025,홍콩,홍콩,"멜로/로맨스,판타지",,주식회사 오디언스,비직배,12세이상관람가,172,7434,10073,10154,1.37,59,73317,6.0,5,67579400,2147,1554,623,848,566,400,1296,682,499,287,421,291,393,66,3
138,그리고 바통은 넘겨졌다,2024-07-17,2021,일본,일본,드라마,마에다 테츠,(주)라이크콘텐츠,비직배,전체관람가,111,8212,9271,10127,1.23,91,85410,6.0,4,74486000,2266,1136,1442,778,799,745,1046,244,137,185,142,131,118,102,72
139,대결! 애니메이션,2024-03-06,2022,일본,일본,드라마,요시노 코헤이,"(주)빌리언스플러스,(주)블루라벨픽쳐스",비직배,12세이상관람가,103,5766,7617,10118,1.75,98,84718,4.1,4,73541116,2122,690,526,843,781,340,464,619,137,294,211,226,266,98,44
140,슈퍼 해피 포에버,2025-12-24,2024,일본,일본,드라마,이가라시 코헤이,"찬란,(주)하이스트레인저",비직배,12세이상관람가,55,5188,7051,10104,1.95,184,43228,8.7,4,103183100,1041,1190,474,734,712,520,517,358,413,253,408,208,107,116,84
141,라이즈,2024-01-17,,프랑스,"프랑스,벨기에","드라마,코미디",세드릭 클라피쉬,(주)무비다이브,비직배,15세이상관람가,68,4016,5790,9503,2.37,140,44751,9.1,4,85854460,575,462,511,750,775,355,588,177,239,217,355,282,243,261,238
142,캣퍼슨,2024-06-19,2023,프랑스,프랑스,"드라마,공포(호러),스릴러",수잔나 포겔,판씨네마(주),비직배,15세이상관람가,157,8745,8902,9493,1.09,60,55283,5.2,5,78273300,3090,2059,698,593,682,360,1263,15,64,51,5,8,4,10,0
143,쇼잉 업,2025-01-08,2024,미국,미국,드라마,켈리 라이카트,엠엔엠인터내셔널(주),비직배,12세이상관람가,46,4494,6485,9457,2.1,206,47073,6.8,4,89024200,1404,409,532,785,617,362,385,411,191,192,432,365,211,189,68
144,우리들의 교복시절,2025-07-11,2024,대만,대만,"드라마,멜로/로맨스",촹칭션,"주식회사 로아앤코홀딩스,에무 시네마 앤 카페",비직배,전체관람가,124,5237,7008,9389,1.79,76,50797,6.2,3,87187465,1519,1474,1178,150,263,378,275,252,454,307,230,357,110,61,70
145,물의 연대기,2026-01-28,2025,미국,미국,드라마,크리스틴 스튜어트,판씨네마(주),비직배,청소년관람불가,88,7354,8150,9315,1.27,106,52798,5.5,4,78985800,1725,1420,887,945,722,538,1117,141,117,78,133,126,92,109,32
146,발코니의 여자들,2025-07-09,2024,프랑스,프랑스,"코미디,범죄",노에미 멜랑,"그린나래미디어(주),(주)플레이그램",비직배,청소년관람불가,45,2969,5201,9310,3.14,207,30365,10.9,4,87232100,590,467,445,494,546,171,256,286,235,337,379,367,308,320,135
147,아임 스틸 히어,2025-08-20,2024,브라질,브라질,드라마,월터 살레스,(주)영화사 안다미로,비직배,15세이상관람가,44,4799,7401,9308,1.94,212,41666,9.9,4,83194400,1562,668,526,737,664,282,360,911,269,244,349,327,208,294,133
148,생츄어리 2 : 쿼카가 너무해,2024-03-07,2020,호주,호주,"애니메이션,액션,어드벤처",리카르드 쿠소,(주)팝엔터테인먼트,비직배,전체관람가,249,7004,8072,9261,1.32,37,24910,15.4,4,81510141,143,231,3112,3181,111,130,96,119,4,387,340,10,30,178,0
149,디베르티멘토,2024-08-07,2022,프랑스,프랑스,드라마,마리-카스티유 망시옹-샤르,찬란,비직배,12세이상관람가,31,3276,5681,9205,2.81,297,24814,16.0,4,75426478,470,402,413,642,631,358,360,276,590,289,453,323,256,218,179
150,메모리,2025-01-22,2024,미국,미국,드라마,미셸 프랑코,(주)티캐스트,비직배,15세이상관람가,35,3908,6085,9194,2.35,263,35068,11.0,4,83406400,505,453,584,691,513,640,522,303,447,338,465,290,183,151,153
151,파르테노페,2025-09-24,2024,이탈리아,이탈리아,"드라마,멜로/로맨스",파올로 소렌티노,주식회사 오디언스,비직배,청소년관람불가,53,7392,8336,8968,1.21,169,31683,10.1,4,80067900,1228,1150,766,1349,848,509,1542,129,107,173,154,110,120,151,84
152,리틀 아멜리,2026-01-14,2025,프랑스,프랑스,애니메이션,"메일리스 발라데,리안 조 한","(주)영화사 진진,(주)레드아이스 엔터테인먼트",비직배,전체관람가,116,4809,6143,8793,1.83,76,58919,5.2,4,91227300,1373,610,440,1072,862,197,255,157,179,255,314,248,82,99,110
153,왓츠 러브,2024-03-20,2022,영국,영국,"멜로/로맨스,드라마,코미디",세자르 카푸르,(주)디스테이션,비직배,15세이상관람가,188,7703,8155,8738,1.13,46,81033,4.1,4,78500397,1641,1155,1368,1371,962,472,734,96,87,50,71,63,46,39,4
154,신성한 나무의 씨앗,2025-06-03,2024,독일,독일,드라마,모함마드 라술로프,"그린나래미디어(주),(주)레드아이스 엔터테인먼트",비직배,15세이상관람가,46,3185,5024,8595,2.7,187,46966,7.6,3,77629000,485,379,312,698,586,477,248,215,288,204,176,436,319,201,181
155,미야자키 하야오의 그대들은 어떻게 살 것인가,2026-04-15,2024,일본,일본,다큐멘터리,,(주)디스테이션,비직배,12세이상관람가,78,5063,6964,8404,1.66,108,65052,5.4,4,62307190,1414,523,607,729,633,359,798,385,196,186,282,347,388,117,23
156,굿 보이,2025-10-22,2025,미국,미국,"스릴러,공포(호러)",벤 레온버그,"찬란,주식회사 로아앤코홀딩스",비직배,12세이상관람가,140,5266,8116,8338,1.58,60,83341,4.1,5,68121740,1402,754,589,1008,748,242,523,789,482,351,512,366,266,84,26
157,내 말 좀 들어줘,2025-08-20,2024,영국,영국,드라마,마이크 리,(주)티캐스트,비직배,12세이상관람가,34,3679,6066,8259,2.24,243,32658,12.1,4,76846700,695,424,355,630,662,521,392,605,268,257,409,388,255,205,133
158,왼손잡이 소녀,2025-11-12,2025,미국,미국,"드라마,가족",쩌우스칭,"(주)레드아이스 엔터테인먼트,(주)더쿱디스트리뷰션",비직배,15세이상관람가,75,5987,6711,8120,1.36,108,61907,8.5,1,71360360,929,1083,859,985,864,497,770,87,80,88,95,191,94,89,73
159,볼레로: 불멸의 선율,2025-04-30,2024,프랑스,프랑스,드라마,안느 퐁텐,찬란,비직배,12세이상관람가,37,4157,5676,7978,1.92,216,30037,10.9,4,68604200,503,704,443,626,520,534,827,128,287,198,309,233,165,199,49
160,미치광이 피에로,2025-06-04,1965,프랑스,"프랑스,이탈리아",드라마,장 뤽 고다르,엠엔엠인터내셔널(주),비직배,15세이상관람가,35,2918,4551,7614,2.61,218,28090,9.1,4,74887600,765,386,489,458,436,212,172,184,185,195,321,336,141,271,168
161,마작,2025-10-15,1996,대만,대만,드라마,에드워드 양,(주)디스테이션,비직배,15세이상관람가,108,4091,5694,7572,1.85,70,77453,3.6,4,78353870,613,397,399,973,1207,254,248,341,191,162,282,369,129,129,122
162,네 멋대로 해라,2026-01-14,1960,프랑스,프랑스,"드라마,범죄",장 뤽 고다르,주식회사 오디언스,비직배,12세이상관람가,26,1742,2649,7526,4.32,289,30692,8.4,0,52029030,387,255,249,312,218,154,167,135,86,124,158,212,80,112,57
163,고양이 수비대: 모나리자를 지켜라!,2025-05-14,2023,러시아,러시아,애니메이션,바실리 로벤스키,"그린나래미디어(주),주식회사 로아앤코홀딩스",비직배,전체관람가,151,4973,6591,7504,1.51,50,61209,5.3,4,59763400,228,484,409,1922,1635,175,120,44,46,137,535,530,277,49,149
164,이오 카피타노,2024-08-07,2023,이탈리아,이탈리아,드라마,마테오 가로네,"(주)팝엔터테인먼트,(주)플레이그램",비직배,15세이상관람가,45,5618,6722,7460,1.33,166,33454,9.8,3,66987339,1277,765,795,986,739,397,659,107,294,305,166,102,71,59,34
165,세븐 베일즈,2025-05-14,2024,캐나다,캐나다,드라마,아톰 에고이안,판씨네마(주),비직배,15세이상관람가,136,6143,6752,7419,1.21,55,83911,2.4,4,50984400,2099,869,898,658,461,287,871,119,87,76,75,95,73,84,12
166,악이 도사리고 있을 때,2024-10-09,2023,아르헨티나,"아르헨티나,미국","공포(호러),미스터리,스릴러",데미안 루냐,(주)팝엔터테인먼트,비직배,청소년관람불가,229,6210,6442,7409,1.19,32,115029,1.9,4,57430800,1869,930,925,1018,603,420,445,42,24,22,62,32,24,26,0
167,차이콥스키의 아내,2024-05-01,2022,러시아,러시아,"멜로/로맨스,드라마",키릴 세레브렌니코프,(주)엣나인필름,비직배,청소년관람불가,38,3363,4999,7349,2.19,193,37122,8.6,4,61150554,704,392,350,460,481,712,264,210,213,175,258,353,258,169,266
168,"낸 골딘, 모든 아름다움과 유혈사태",2024-05-15,2022,미국,미국,다큐멘터리,로라 포이트러스,"찬란,(주)하이스트레인저",비직배,15세이상관람가,49,3202,4485,7321,2.29,149,35295,7.4,4,70221495,862,307,284,587,490,211,461,167,144,174,274,233,158,133,186
169,오키쿠와 세계,2024-02-21,2023,일본,일본,드라마,사카모토 준지,(주)엣나인필름,비직배,12세이상관람가,36,3031,4639,7218,2.38,200,44034,9.1,1,67240295,365,344,356,510,896,343,217,346,174,244,276,322,80,166,259
170,뱀파이어 헌터 D,2025-11-12,2000,일본,일본,애니메이션,카와지리 요시아키,(주)플레이그램,비직배,15세이상관람가,54,3655,5330,7168,1.96,133,53496,6.5,4,72125800,694,496,499,674,831,229,232,126,559,256,233,229,132,140,464
171,안녕하세요,2026-02-11,1959,일본,일본,드라마,오즈 야스지로,(주)엣나인필름,비직배,12세이상관람가,38,2363,3805,7082,3.0,186,33074,7.2,4,66258700,418,259,294,400,377,309,306,340,164,206,239,181,145,167,72
172,#진상을 말씀드립니다,2025-09-24,2025,일본,일본,"미스터리,스릴러,드라마",토요시마 케이스케,"주식회사 로아앤코홀딩스,(주)영화사 안다미로",비직배,15세이상관람가,113,5509,6223,7002,1.27,62,58723,4.9,4,53060800,895,705,763,1074,700,542,830,157,103,122,150,90,36,56,50
173,성 베드로 대성당과 로마의 교황청 대성당들,2025-01-15,2016,이탈리아,이탈리아,다큐멘터리,,일미디어,비직배,전체관람가,19,1335,2342,6919,5.18,364,12288,14.2,4,56592860,261,128,143,255,272,151,125,91,92,124,132,212,169,187,125
174,기괴도,2024-06-12,2023,일본,일본,공포(호러),시미즈 다카시,와이드 릴리즈(주),비직배,15세이상관람가,106,6331,6616,6912,1.09,65,47860,3.6,4,51723749,1682,727,843,1167,922,378,612,67,67,45,31,34,23,18,2
175,힙노시스: LP 커버의 전설,2024-05-01,2022,영국,영국,다큐멘터리,안톤 코르빈,(주)티캐스트,비직배,15세이상관람가,53,3524,4722,6624,1.88,125,42244,6.5,4,64433647,1029,258,298,515,477,504,443,171,116,246,231,177,102,155,158
176,트라페지움,2024-11-14,2024,일본,일본,애니메이션,,와이드 릴리즈(주),비직배,전체관람가,105,5379,6246,6490,1.21,62,67392,4.4,4,51598500,1635,553,1443,870,260,261,357,67,65,312,215,82,125,1,0
177,8과 1/2,2025-07-23,,이탈리아,이탈리아,드라마,페데리코 펠리니,일미디어,비직배,15세이상관람가,23,1993,3142,6409,3.22,279,16147,12.1,4,59989900,262,219,271,331,346,257,307,221,225,103,178,143,133,146,62
178,클레오의 세계,2024-01-03,2023,프랑스,프랑스,드라마,마리 아마추켈리,"그린나래미디어(주),(주)하이스트레인저",비직배,전체관람가,47,3102,4565,6404,2.06,136,66621,6.6,0,61900677,446,321,316,907,551,277,284,196,209,196,369,259,106,128,65
179,영화 스미코구라시 - 푸른 달밤의 마법의 아이,2024-02-07,2019,일본,일본,애니메이션,오오모리 타카히로,(주)미디어캐슬,비직배,전체관람가,106,4253,5192,6401,1.51,60,73375,3.4,4,52317720,705,762,687,376,596,905,222,134,121,244,123,184,68,65,34
180,사랑의 탐구,2024-09-18,2023,캐나다,캐나다,멜로/로맨스,모니아 쇼크리,(주)티캐스트,비직배,청소년관람불가,35,3121,4088,6399,2.05,183,30981,11.7,1,58980360,860,271,425,605,451,258,251,111,97,136,174,171,98,180,96
181,담뽀뽀,2025-12-17,1985,일본,일본,코미디,이타미 주조,(주)디스테이션,비직배,청소년관람불가,25,3163,4708,6377,2.02,255,17571,16.0,4,62250576,905,401,317,675,352,295,218,352,208,177,250,192,131,235,303
182,럭키 데이 인 파리,2025-11-12,2023,미국,미국,"멜로/로맨스,스릴러",우디 앨런,해피송,비직배,12세이상관람가,63,3628,4591,6335,1.75,101,53358,8.0,1,60621370,557,334,549,825,743,314,306,152,65,97,261,161,100,127,155
183,더 원더스,2024-07-31,2014,이탈리아,이탈리아,드라마,알리체 로르와커,엠엔엠인터내셔널(주),비직배,12세이상관람가,44,3257,4480,6276,1.93,143,26885,9.2,4,57909456,703,469,363,539,554,267,362,112,147,111,292,319,123,119,85
184,위국일기,2024-10-02,2024,일본,일본,드라마,세타 나츠키,"(주)영화사 진진,(주)하이스트레인저",비직배,12세이상관람가,69,3078,4141,6187,2.01,90,61514,6.5,1,60883900,609,578,459,547,386,237,262,201,104,127,275,205,87,64,78
185,사운드 오브 폴링,2025-12-17,2025,독일,독일,드라마,마샤 실린스키,"(주)스튜디오디에이치엘,(주)플레이그램",비직배,15세이상관람가,50,3473,4645,6168,1.78,123,30718,6.9,4,64863810,468,363,330,944,855,280,233,130,87,199,257,151,153,195,45
186,피렌체와 우피치 미술관,2024-06-26,2015,이탈리아,이탈리아,다큐멘터리,,일미디어,비직배,전체관람가,17,1550,3025,6019,3.88,354,14636,14.2,5,47998606,329,183,180,211,199,265,183,118,238,133,329,368,137,152,68
187,바늘을 든 소녀,2025-12-10,2024,덴마크,덴마크,드라마,매그너스 본 혼,"그린나래미디어(주),(주)레드아이스 엔터테인먼트",비직배,15세이상관람가,39,2391,3909,5778,2.42,148,25776,9.5,4,53860950,450,247,295,464,444,248,243,215,181,187,230,211,188,306,97
188,독립시대,2024-09-25,1994,대만,대만,"코미디,드라마,멜로/로맨스",에드워드 양,"(주)디스테이션,(주)에이썸엔터테인먼트",비직배,15세이상관람가,42,3004,3720,5704,1.9,136,35072,6.4,4,54436860,499,1059,277,478,288,213,190,87,140,90,115,111,88,85,113
189,나미비아의 사막,2025-05-07,2024,일본,일본,드라마,야마나카 요코,(주)스튜디오디에이치엘,비직배,15세이상관람가,55,3106,3899,5620,1.81,102,58679,6.1,0,52674800,685,358,366,502,415,283,497,119,83,95,147,245,45,59,37
190,달팽이의 회고록,2025-04-30,2024,호주,호주,애니메이션,아담 엘리어트,해피송,비직배,15세이상관람가,50,3221,4716,5596,1.74,112,57042,5.1,4,49457960,978,361,266,340,313,499,464,176,129,224,358,232,150,226,72
191,파문,2025-01-15,2023,일본,,드라마,오기가미 나오코,,,,97,2724,3783,5580,2.05,58,50290,6.2,4,52097100,459,383,357,483,471,292,279,112,85,116,257,130,171,188,55
192,넥스트 골 윈즈,2024-01-24,2023,미국,미국,코미디,타이카 와이티티,월트디즈니컴퍼니코리아 유한책임회사,직배,전체관람가,156,3973,4919,5497,1.38,35,80175,5.5,4,50989771,655,475,510,714,670,348,601,154,91,300,139,89,56,117,3
193,원맨,2024-09-04,2023,아일랜드,아일랜드,"액션,범죄",로버트 로렌즈,이화배컴퍼니(주),비직배,15세이상관람가,147,5199,5280,5463,1.05,37,57528,2.8,5,51242000,919,745,762,1094,793,445,441,37,35,5,1,0,1,2,1
194,고백,2025-02-19,,,,,,,,,100,4544,4914,5417,1.19,54,64374,1.8,4,39871000,1257,914,907,560,456,198,252,87,101,55,35,19,46,27,1
195,해상화,2026-02-04,1998,일본,일본,드라마,허우 샤오시엔,"(주)영화사 진진,(주)하이스트레인저",비직배,15세이상관람가,35,2678,3801,5380,2.01,154,29281,7.1,4,47460170,591,436,295,471,407,270,208,184,205,144,132,111,191,156,69
196,찬란한 내일로,2024-05-29,2023,이탈리아,"이탈리아,프랑스",드라마,난니 모레티,에무 시네마 앤 카페,비직배,12세이상관람가,42,2441,3471,5343,2.19,127,33826,5.4,4,47869480,643,355,211,531,314,174,213,161,177,198,172,118,107,97,65
197,기빗올: 우리들의 썸머,2025-06-18,2024,일본,일본,애니메이션,사쿠라기 유헤이,찬란,비직배,전체관람가,107,3324,4681,5194,1.56,49,62840,4.3,4,39836970,1152,410,216,649,381,153,363,361,144,141,368,130,173,40,110
198,국외자들,2024-09-25,1964,프랑스,프랑스,"드라마,범죄",장 뤽 고다르,엠엔엠인터내셔널(주),비직배,12세이상관람가,24,2151,2950,5156,2.4,215,18333,8.8,4,51079860,515,219,178,397,318,170,354,118,179,79,116,150,49,108,109
